"basic","image","pid","parameter","display_pid","maintenance"
"{""floral_language"":""Ficus elastica \nFloriography: prudent, loyal, love.\nThe rubber fig is a large tree with stout trunk. Leaves are long thick oval, dark green. It is unusually placed in hall way, living room and study room for decoration.\nThe plant is partial shade tolerant. Direct bright sunlight should be avoided in summer. Three to four hours of sunbath in winter is enough for growth. White flowers bloom in May to June if growing well."",""blooming"":""Foliage plants, sometimes flowers in May-June, white flowers"",""color"":""Leaf color dark green to red brown"",""production"":""China"",""category"":""Moraceae, Ficus"",""origin"":""Brazil""}","http://pkb.resource.huahuacaocao.com/ZmljdXMgZWxhc3RpY2EuanBn?imageView2/1/w/%d/h/%d","ficus elastica","{""max_temp"":35,""max_soil_ec"":2000,""max_light_lux"":30000,""max_light_mmol"":3500,""min_light_mmol"":1400,""min_env_humid"":30,""max_env_humid"":85,""max_soil_moist"":60,""min_soil_ec"":350,""min_soil_moist"":15,""min_temp"":10,""min_light_lux"":1000}","Ficus elastica","{""pruning"":""Remove dead, yellowish and disease leaves timely"",""watering"":""Likes wet environments, water thoroughly when soil is dry, spray frequently to the air or leaves to keep moist in summer"",""fertilization"":""Dilute fertilizers following instructions, apply 1-2 times monthly in spring and autumn"",""soil"":""Peat or soil with specific nutrients"",""size"":""Diameter ≥ 10 cm, height ≥ 10 cm"",""sunlight"":""Like half shade, avoid strong direct light in summer, in winter may take 3-4h sunlight""}"
"{""category"":""Acanthaceae, Fittonia"",""origin"":""China"",""floral_language"":""Fittonia verschaffeltii\nFloriography: delicate, refreshing, vitality.\nA small evergreen plant, leaves of the nerve plant are oval with white or red veins intercrossing like a web. Widely used indoor and micro-landscape for decoration.\nThe plant requires partial shade habitat. Two to three hours sunbath in winter is acceptable. Yellow flowers may bloom in September to November if growing well."",""production"":""China"",""color"":""Leaf color green , red, pink"",""blooming"":""Foliage plants, sometimes flowers in September-November, yellow flowers""}","http://pkb.resource.huahuacaocao.com/Zml0dG9uaWEgdmVyc2NoYWZmZWx0aWkuanBn?imageView2/1/w/%d/h/%d","fittonia verschaffeltii","{""max_light_lux"":26000,""min_light_mmol"":1200,""min_soil_ec"":350,""min_env_humid"":30,""max_env_humid"":85,""max_soil_moist"":60,""max_temp"":35,""max_soil_ec"":2000,""max_light_mmol"":3300,""min_soil_moist"":15,""min_light_lux"":500,""min_temp"":10}","Fittonia verschaffeltii","{""fertilization"":""Dilute fertilizers following instructions, apply 1-2 times monthly in spring and autumn"",""watering"":""Need a lot of water, water thoroughly when soil is dry"",""size"":""Diameter ≥ 10 cm, height ≥ 5 cm"",""sunlight"":""Like shade environments, in winter may take 2-3h sunlight"",""pruning"":""Remove dead leaves timely"",""soil"":""Peat or soil with specific nutrients""}"
"{""origin"":""China"",""floral_language"":""Fittonia verschaffeltii var. argyroneura \nFloriography: delicate, refreshing, vitality.\nA small evergreen plant, leaves of the nerve plant are oval with white or red veins intercrossing like a web. Widely used indoor and micro-landscape for decoration.\nThe plant requires partial shade habitat. Two to three hours sunbath in winter is acceptable. Yellow flowers may bloom in September to November if growing well."",""blooming"":""Foliage plants, sometimes flowers in September-November, yellow flowers"",""category"":""Acanthaceae, Fittonia"",""production"":""China"",""color"":""Leaf color green""}","http://pkb.resource.huahuacaocao.com/Zml0dG9uaWEgdmVyc2NoYWZmZWx0aWkgdmFyLiBhcmd5cm9uZXVyYS5qcGc=?imageView2/1/w/%d/h/%d","fittonia verschaffeltii var. argyroneura","{""max_env_humid"":85,""min_temp"":10,""min_light_mmol"":1200,""max_soil_moist"":60,""min_light_lux"":500,""max_light_mmol"":3300,""max_temp"":35,""min_soil_moist"":15,""max_soil_ec"":2000,""min_env_humid"":30,""min_soil_ec"":350,""max_light_lux"":26000}","Fittonia verschaffeltii var. argyroneura","{""sunlight"":""Like shade environments, in winter may take 2-3h sunlight"",""pruning"":""Remove dead leaves timely"",""watering"":""Need a lot of water, water thoroughly when soil is dry"",""fertilization"":""Dilute fertilizers following instructions, apply 1-2 times monthly in spring and autumn"",""soil"":""Peat or soil with specific nutrients"",""size"":""Diameter ≥ 10 cm, height ≥ 5 cm""}"
"{""floral_language"":""Forsythia ovata \nFloriography: keen, warm-hearted, magical\nForsythia ovata is an deciduous shrub, often confused with Winter jasmine (Jasminum nudiflorum).Forsythia ovata is generally taller with upright branches. Flowering after leaf growth with 4-petal flowers of golden yellow, has elegant aroma. In addition to its landscaping values, it is famous for medicinal values in detoxification, relieving congestion and swelling etc.\nForsythia ovata likes sunlight, tolerates half shad, in summer shade properly. Flowering from March to April for 3-4 weeks."",""color"":""Flower color golden yellow"",""blooming"":""Flowering period March-April, viewing period 3-4 weeks"",""category"":""Oleaceae, Forsythia"",""production"":""China"",""origin"":""China""}","http://pkb.resource.huahuacaocao.com/Zm9yc3l0aGlhIG92YXRhLmpwZw==?imageView2/1/w/%d/h/%d","forsythia ovata","{""max_light_lux"":60000,""min_soil_ec"":350,""max_soil_moist"":60,""min_light_lux"":3000,""min_light_mmol"":4000,""max_light_mmol"":6000,""max_temp"":35,""max_env_humid"":80,""max_soil_ec"":2000,""min_env_humid"":30,""min_temp"":5,""min_soil_moist"":15}","Forsythia ovata","{""pruning"":""Remove old, diseased and dead leaves timely"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""watering"":""Water thoroughly when soil is dry, reduce watering in winter"",""soil"":""Peat or soil with specific nutrients"",""sunlight"":""Likes light, slight shade tolerance, in summer use half shade for better care"",""fertilization"":""Dilute fertilizers following instructions,  apply 1-2 times monthly in spring""}"
"{""category"":""Oleaceae, Forsythia"",""floral_language"":""Forsythia suspensa \nFloriography: keen, warm-hearted, magical\nForsythia suspensa is an deciduous shrub, often confused with Winter jasmine (Jasminum nudiflorum). Forsythia suspensa is generally taller with upright branches. Flowering after leaf growth with 4-petal flowers of golden yellow, has elegant aroma. In addition to its landscaping values, it is famous for medicinal values in detoxification, relieving congestion and swelling etc.\nForsythia suspensa likes sunlight, tolerates half shad, in summer shade properly. Flowering from March to April for 3-4 weeks."",""blooming"":""Flowering period March-April, viewing period 3-4 weeks"",""color"":""Flower color golden yellow"",""production"":""China"",""origin"":""China""}","http://pkb.resource.huahuacaocao.com/Zm9yc3l0aGlhIHN1c3BlbnNhLmpwZw==?imageView2/1/w/%d/h/%d","forsythia suspensa","{""max_temp"":35,""max_light_mmol"":6000,""min_soil_ec"":350,""max_soil_ec"":2000,""min_light_lux"":3000,""max_soil_moist"":60,""min_light_mmol"":4000,""min_temp"":5,""max_env_humid"":80,""min_env_humid"":30,""min_soil_moist"":15,""max_light_lux"":60000}","Forsythia suspensa","{""pruning"":""Remove old, diseased and dead leaves timely"",""fertilization"":""Dilute fertilizers following instructions,  apply 1-2 times monthly in spring"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""watering"":""Water thoroughly when soil is dry, reduce watering in winter"",""sunlight"":""Likes light, slight shade tolerance, in summer use half shade for better care"",""soil"":""Peat or soil with specific nutrients""}"
"{""floral_language"":""Forsythia x intermedia \nFloriography: keen, warm-hearted, magical\nForsythia is an deciduous shrub, often confused with Winter jasmine (Jasminum nudiflorum). Forsythia is generally taller with upright branches. Flowering after leaf growth with 4-petal flowers of golden yellow, has elegant aroma. In addition to its landscaping values, it is famous for medicinal values in detoxification, relieving congestion and swelling etc.\nForsythia likes sunlight, tolerates half shad, in summer shade properly. Flowering from March to April for 3-4 weeks."",""blooming"":""Flowering period March-April, viewing period 3-4 weeks"",""color"":""Flower color golden yellow"",""production"":""China"",""category"":""Oleaceae, Forsythia"",""origin"":""China""}","http://pkb.resource.huahuacaocao.com/Zm9yc3l0aGlhIHggaW50ZXJtZWRpYS5qcGc=?imageView2/1/w/%d/h/%d","forsythia x intermedia","{""max_env_humid"":80,""max_temp"":35,""min_light_mmol"":4000,""min_env_humid"":30,""min_temp"":5,""min_soil_ec"":350,""min_light_lux"":3000,""max_light_mmol"":6000,""max_soil_moist"":60,""max_soil_ec"":2000,""max_light_lux"":60000,""min_soil_moist"":15}","Forsythia x intermedia","{""pruning"":""Remove old, diseased and dead leaves timely"",""watering"":""Water thoroughly when soil is dry, reduce watering in winter"",""sunlight"":""Likes light, slight shade tolerance, in summer use half shade for better care"",""fertilization"":""Dilute fertilizers following instructions,  apply 1-2 times monthly in spring"",""soil"":""Peat or soil with specific nutrients"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm""}"
"{""blooming"":""Fruit plants, flowering period April-May, fruiting period June-July"",""category"":""Rosaceae, Fragaria"",""origin"":""South America"",""color"":""Flower color white, fruit color red"",""production"":""China"",""floral_language"":""Fragaria moschata\nFloriography: sweethearted, innocent, beautiful\nFragaria moschata has a heart shape, bright fresh red color, juicy and full of fruit unique flavors of Rosaceae, has very high nutritional values and ornamental values. Flowers are 5-petaled, nearly round, white, pink, or rose color, cute and lovely. \nFragaria moschata likes sunshine, also tolerates shades, flowering in April to May and fruit producing in June and July.""}","http://pkb.resource.huahuacaocao.com/ZnJhZ2FyaWEgbW9zY2hhdGEuanBn?imageView2/1/w/%d/h/%d","fragaria moschata","{""max_soil_moist"":80,""max_light_mmol"":10400,""min_soil_moist"":25,""min_light_mmol"":4000,""max_soil_ec"":2000,""min_light_lux"":4000,""max_light_lux"":60000,""min_temp"":8,""max_temp"":32,""min_soil_ec"":350,""min_env_humid"":40,""max_env_humid"":80}","Fragaria moschata","{""watering"":""Need a lot of water, water thoroughly when soil is dry"",""sunlight"":""Fruits in high quality with adequate sunshine"",""fertilization"":""Dilute fertilizers following instructions, apply once every 7-10 days in the growing stage"",""pruning"":""Remove creeping stem, old and disease leaves timely"",""soil"":""Peat or soil with specific nutrients"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm""}"
"{""color"":""Flower color white, fruit color red"",""origin"":""South America"",""floral_language"":""Fragaria vesca\nFloriography: sweethearted, innocent, beautiful\nFragaria vesca has a heart shape, bright fresh red color, juicy and full of fruit unique flavors of Rosaceae, has very high nutritional values and ornamental values. Flowers are 5-petaled, nearly round, white, pink, or rose color, cute and lovely. \nFragaria vesca likes sunshine, also tolerates shades, flowering in April to May and fruit producing in June and July."",""blooming"":""Fruit plants, flowering period April-May, fruiting period June-July"",""production"":""China"",""category"":""Rosaceae, Fragaria""}","http://pkb.resource.huahuacaocao.com/ZnJhZ2FyaWEgdmVzY2EuanBn?imageView2/1/w/%d/h/%d","fragaria vesca","{""min_soil_ec"":350,""max_light_mmol"":10400,""min_light_mmol"":4000,""max_temp"":32,""max_light_lux"":60000,""min_soil_moist"":25,""min_env_humid"":40,""min_light_lux"":4000,""max_soil_moist"":80,""max_env_humid"":80,""max_soil_ec"":2000,""min_temp"":8}","Fragaria vesca","{""pruning"":""Remove creeping stem, old and disease leaves timely"",""watering"":""Need a lot of water, water thoroughly when soil is dry"",""soil"":""Peat or soil with specific nutrients"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""fertilization"":""Dilute fertilizers following instructions, apply once every 7-10 days in the growing stage"",""sunlight"":""Fruits in high quality with adequate sunshine""}"
"{""blooming"":""Fruit plants, flowering period April-May, fruiting period June-July"",""production"":""China"",""origin"":""South America"",""floral_language"":""Fragaria virginiana\nFloriography: sweethearted, innocent, beautiful\nFragaria virginiana has a heart shape, bright fresh red color, juicy and full of fruit unique flavors of Rosaceae, has very high nutritional values and ornamental values. Flowers are 5-petaled, nearly round, white, pink, or rose color, cute and lovely. \nFragaria virginiana likes sunshine, also tolerates shades, flowering in April to May and fruit producing in June and July."",""color"":""Flower color white, fruit color red"",""category"":""Rosaceae, Fragaria""}","http://pkb.resource.huahuacaocao.com/ZnJhZ2FyaWEgdmlyZ2luaWFuYS5qcGc=?imageView2/1/w/%d/h/%d","fragaria virginiana","{""max_soil_moist"":80,""min_soil_ec"":350,""max_light_lux"":60000,""min_light_mmol"":4000,""min_soil_moist"":25,""max_env_humid"":80,""min_temp"":8,""max_light_mmol"":10400,""max_temp"":32,""min_light_lux"":4000,""max_soil_ec"":2000,""min_env_humid"":40}","Fragaria virginiana","{""fertilization"":""Dilute fertilizers following instructions, apply once every 7-10 days in the growing stage"",""watering"":""Need a lot of water, water thoroughly when soil is dry"",""pruning"":""Remove creeping stem, old and disease leaves timely"",""soil"":""Peat or soil with specific nutrients"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""sunlight"":""Fruits in high quality with adequate sunshine""}"
"{""origin"":""South America"",""category"":""Rosaceae, Fragaria"",""color"":""Flower color white, fruit color red"",""floral_language"":""Fragaria × ananassa\nFloriography: sweethearted, innocent, beautiful\nStrawberry has a heart shape, bright fresh red color, juicy and full of fruit unique flavors of Rosaceae, has very high nutritional values and ornamental values. Flowers are 5-petaled, nearly round, white, pink, or rose color, cute and lovely. \nStrawberry likes sunshine, also tolerates shades, flowering in April to May and fruit producing in June and July."",""blooming"":""Fruit plants, flowering period April-May, fruiting period June-July"",""production"":""China""}","http://pkb.resource.huahuacaocao.com/ZnJhZ2FyaWEgeCBhbmFuYXNzYS5qcGc=?imageView2/1/w/%d/h/%d","fragaria x ananassa","{""max_light_lux"":60000,""min_light_mmol"":4000,""min_env_humid"":40,""max_env_humid"":80,""max_light_mmol"":10400,""max_soil_moist"":80,""min_soil_moist"":25,""max_temp"":32,""min_soil_ec"":350,""min_temp"":8,""max_soil_ec"":2000,""min_light_lux"":4000}","Fragaria x ananassa","{""watering"":""Need a lot of water, water thoroughly when soil is dry"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""fertilization"":""Dilute fertilizers following instructions, apply once every 7-10 days in the growing stage"",""pruning"":""Remove creeping stem, old and disease leaves timely"",""sunlight"":""Fruits in high quality with adequate sunshine"",""soil"":""Peat or soil with specific nutrients""}"
"{""floral_language"":""Freesia\nFloriography: happiness, pure, beautiful.\n\nFreesia is a genus of herbaceous perennial flowering plants in the family Iridaceae. It was named after German botanist and doctor Friedrich Freese. Leaves of the plant are elegant long and narrow. Color of flower varies. Bell shaped flowers bloom from bottom to top on the stem are very attractive for viewers.\n\nFreesia plants grow best under mild sunlight. Direct sunlight should be avoid. Blooming in April through May, duration three to four weeks."",""category"":""Iridaceae, Freesia"",""color"":""Flower color pink"",""origin"":""Africa"",""production"":""China"",""blooming"":""Flowering period April-May, viewing period 3-4 weeks""}","http://pkb.resource.huahuacaocao.com/ZnJlZXNpYSAncGluayBmb3VudGFpbicuanBn?imageView2/1/w/%d/h/%d","freesia 'pink fountain'","{""max_light_mmol"":4500,""min_light_mmol"":2500,""max_env_humid"":80,""min_soil_moist"":7,""min_temp"":5,""max_temp"":35,""max_soil_moist"":60,""min_light_lux"":3000,""max_soil_ec"":2000,""max_light_lux"":30000,""min_env_humid"":15,""min_soil_ec"":350}","Freesia 'pink fountain'","{""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""fertilization"":""Dilute fertilizers following instructions,  apply once every 10-15 days in spring"",""soil"":""Peat or soil with specific nutrients"",""watering"":""Keep soil moist, water thoroughly when soil is dry"",""sunlight"":""Likes moderate sunshine, avoid direct strong light, seedling stage and flowering put in places with bright scattered light""}"
"{""color"":""Flower color yellow"",""category"":""Iridaceae, Freesia"",""production"":""China"",""floral_language"":""Freesia\nFloriography: happiness, pure, beautiful.\n\nFreesia is a genus of herbaceous perennial flowering plants in the family Iridaceae. It was named after German botanist and doctor Friedrich Freese. Leaves of the plant are elegant long and narrow. Color of flower varies. Bell shaped flowers bloom from bottom to top on the stem are very attractive for viewers.\n\nFreesia plants grow best under mild sunlight. Direct sunlight should be avoid. Blooming in April through May, duration three to four weeks."",""origin"":""Africa"",""blooming"":""Flowering period April-May, viewing period 3-4 weeks""}","http://pkb.resource.huahuacaocao.com/ZnJlZXNpYSAndGV4YXMnLmpwZw==?imageView2/1/w/%d/h/%d","freesia 'texas'","{""min_light_lux"":3000,""min_soil_moist"":7,""max_env_humid"":80,""max_light_lux"":30000,""min_light_mmol"":2500,""max_soil_moist"":60,""max_light_mmol"":4500,""min_temp"":5,""max_soil_ec"":2000,""min_env_humid"":15,""max_temp"":35,""min_soil_ec"":350}","Freesia 'texas'","{""soil"":""Peat or soil with specific nutrients"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""sunlight"":""Likes moderate sunshine, avoid direct strong light, seedling stage and flowering put in places with bright scattered light"",""fertilization"":""Dilute fertilizers following instructions,  apply once every 10-15 days in spring"",""watering"":""Keep soil moist, water thoroughly when soil is dry""}"
"{""blooming"":""Flowering period April-May, viewing period 3-4 weeks"",""floral_language"":""Freesia\nFloriography: happiness, pure, beautiful.\n\nFreesia is a genus of herbaceous perennial flowering plants in the family Iridaceae. It was named after German botanist and doctor Friedrich Freese. Leaves of the plant are elegant long and narrow. Color of flower varies. Bell shaped flowers bloom from bottom to top on the stem are very attractive for viewers.\n\nFreesia plants grow best under mild sunlight. Direct sunlight should be avoid. Blooming in April through May, duration three to four weeks."",""color"":""Flower color orange"",""category"":""Iridaceae, Freesia"",""origin"":""Africa"",""production"":""China""}","http://pkb.resource.huahuacaocao.com/ZnJlZXNpYSAndml2YWxkaScuanBn?imageView2/1/w/%d/h/%d","freesia 'vivaldi'","{""min_soil_moist"":7,""min_light_mmol"":2500,""min_env_humid"":15,""max_light_mmol"":4500,""max_soil_moist"":60,""max_env_humid"":80,""min_soil_ec"":350,""min_temp"":5,""max_temp"":35,""min_light_lux"":3000,""max_light_lux"":30000,""max_soil_ec"":2000}","Freesia 'vivaldi'","{""sunlight"":""Likes moderate sunshine, avoid direct strong light, seedling stage and flowering put in places with bright scattered light"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""fertilization"":""Dilute fertilizers following instructions,  apply once every 10-15 days in spring"",""soil"":""Peat or soil with specific nutrients"",""watering"":""Keep soil moist, water thoroughly when soil is dry""}"
"{""category"":""Iridaceae, Freesia"",""production"":""China"",""blooming"":""Flowering period April-May, viewing period 3-4 weeks"",""color"":""Flower color red, purple, yellow, white, or in mixture"",""origin"":""Africa"",""floral_language"":""Freesia\nFloriography: happiness, pure, beautiful.\n\nFreesia is a genus of herbaceous perennial flowering plants in the family Iridaceae. It was named after German botanist and doctor Friedrich Freese. Leaves of the plant are elegant long and narrow. Color of flower varies. Bell shaped flowers bloom from bottom to top on the stem are very attractive for viewers.\n\nFreesia plants grow best under mild sunlight. Direct sunlight should be avoid. Blooming in April through May, duration three to four weeks.""}","http://pkb.resource.huahuacaocao.com/ZnJlZXNpYSB4LmpwZw==?imageView2/1/w/%d/h/%d","freesia x","{""max_soil_ec"":2000,""max_light_lux"":30000,""max_light_mmol"":4500,""min_soil_ec"":350,""min_light_lux"":3000,""max_soil_moist"":60,""max_temp"":35,""min_temp"":5,""min_soil_moist"":7,""min_env_humid"":15,""max_env_humid"":80,""min_light_mmol"":2500}","Freesia x","{""soil"":""Peat or soil with specific nutrients"",""watering"":""Keep soil moist, water thoroughly when soil is dry"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""fertilization"":""Dilute fertilizers following instructions,  apply once every 10-15 days in spring"",""sunlight"":""Likes moderate sunshine, avoid direct strong light, seedling stage and flowering put in places with bright scattered light"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm""}"
"{""production"":""China"",""blooming"":""Succulent plants, sometimes flowers, orange red flowers"",""color"":""Leaf color emerald green"",""category"":""Liliaceae, ×Gasteraloe"",""origin"":""South Africa"",""floral_language"":""Gasteraloe beguinii\nFloriography: youthful, tough, strong\nIs a hybrid with Aloe, has flashy thick juicy leaves, fresh green, triangular shape with long needle like tips, closely arranged in a rosette, rigid and leaf surface covered by white spots, suitable for growing alone or in combinations with other plants in pots.is a common succulent for home, \nLikes sunshine, tolerates to half shade, has a short dormant period in summer, shade properly in a cool environment. Flowers are orange.""}","http://pkb.resource.huahuacaocao.com/Z2FzdGVyYWxvZSBiZWd1aW5paS5qcGc=?imageView2/1/w/%d/h/%d","gasteraloe beguinii","{""min_soil_moist"":7,""min_env_humid"":15,""max_temp"":35,""max_light_lux"":65000,""min_light_mmol"":3200,""min_light_lux"":3500,""max_env_humid"":80,""max_soil_moist"":50,""min_temp"":8,""max_light_mmol"":7300,""min_soil_ec"":300,""max_soil_ec"":1000}","Gasteraloe beguinii","{""watering"":""Resistant to drought, water thoroughly when soil is dry, reduce water in summer"",""fertilization"":""Dilute fertilizers following instructions,  apply once every 1-2 months in spring and autumn"",""pruning"":""Remove dead and rotten part timely"",""size"":""Diameter ≥ 5 cm, height ≥ 5 cm"",""soil"":""Peat and akadama mixed in 3:1 ratio"",""sunlight"":""Likes light, dormant in summer under high temperatures, put in places with scattered light""}"
"{""blooming"":""Succulent plants, sometimes flowers, yellow flowers"",""color"":""Leaf color green to gray green"",""category"":""Liliaceae, Gasteria"",""origin"":""South Africa"",""production"":""China"",""floral_language"":""Gasteria gracilis var. minima\nFloriography: peculiar, fortunate, lucky\nHas fleshy thick and tone-like leaves arranged in opposite directions forming like an ingot. Leaf color dark green with light green spots. Easy to multiply by detaching lateral buds and burying into soil. \nLikes half shaded environments, avoid direct strong sunlight, need shade properly under scattered light. Flowers are yellow.""}","http://pkb.resource.huahuacaocao.com/Z2FzdGVyaWEgZ3JhY2lsaXMgdmFyLiBtaW5pbWEuanBn?imageView2/1/w/%d/h/%d","gasteria gracilis var. minima","{""max_temp"":35,""max_light_lux"":30000,""min_light_mmol"":2000,""min_light_lux"":3500,""max_env_humid"":80,""min_temp"":5,""max_soil_moist"":50,""min_env_humid"":15,""max_soil_ec"":1000,""min_soil_ec"":300,""max_light_mmol"":4000,""min_soil_moist"":7}","Gasteria gracilis var. minima","{""sunlight"":""Like half shade, put in places with scattered light, avoid strong direct light"",""size"":""Diameter ≥ 5 cm, height 3-10 cm"",""watering"":""Resistant to drought, water thoroughly when soil is dry, reduce water in summer"",""pruning"":""Remove dead and rotten part timely"",""fertilization"":""Dilute fertilizers following instructions,  apply once every 1-2 months in spring and autumn"",""soil"":""Peat and akadama mixed in 3:1 ratio""}"
"{""category"":""Calycanthaceae, Chimonanthus"",""color"":""Flower color white"",""production"":""China"",""floral_language"":""Chimonanthus praecox \nFloriography: pride, strong and faithful \nChimonanthus praecox blossom proudly in the snow, with orchid, bamboo, and chrysanthemum together referred to as the \""four gentlemen\"" in the flower, has been named as the city flower of Wuhan. \nChimonanthus praecox plant strong firm and pretty. Leaf blade elliptic, flowers are delicate and cabinet. Color is various, petals of 5 single and double. The fragrance of plum blossom is from bitter cold, a symbol of the Chinese nation strong spiritual quality. \nChimonanthus praecox blossom like the sunshine, summer noon light should be covered. Because of the north-south differences, flowering in December to April of next year, with the ornamental period 1 to 2 weeks."",""blooming"":""Flowering period November-March, viewing period 1-2 weeks"",""origin"":""China""}","http://pkb.resource.huahuacaocao.com/Z2VyYWx0b24gd2F4IG1heWEuanBn?imageView2/1/w/%d/h/%d","geralton wax maya","{""min_light_mmol"":3000,""max_env_humid"":80,""max_light_lux"":50000,""max_soil_moist"":60,""max_soil_ec"":2000,""min_soil_moist"":15,""min_soil_ec"":350,""max_temp"":32,""min_env_humid"":30,""min_temp"":5,""min_light_lux"":3000,""max_light_mmol"":6000}","Geralton wax maya","{""fertilization"":""Dilute fertilizers following instructions, top-dressing before and after flowering and defoliation"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""watering"":""Moderately resistant to drought, water thoroughly when soil is dry"",""soil"":""Peat or soil with specific nutrients"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""sunlight"":""Likes sunshine, shade properly under summer strong light""}"
"{""category"":""Calycanthaceae, Chimonanthus"",""floral_language"":""Chimonanthus praecox \nFloriography: pride, strong and faithful \nChimonanthus praecox blossom proudly in the snow, with orchid, bamboo, and chrysanthemum together referred to as the \""four gentlemen\"" in the flower, has been named as the city flower of Wuhan. \nChimonanthus praecox plant strong firm and pretty. Leaf blade elliptic, flowers are delicate and cabinet. Color is various, petals of 5 single and double. The fragrance of plum blossom is from bitter cold, a symbol of the Chinese nation strong spiritual quality. \nChimonanthus praecox blossom like the sunshine, summer noon light should be covered. Because of the north-south differences, flowering in December to April of next year, with the ornamental period 1 to 2 weeks."",""production"":""China"",""origin"":""China"",""blooming"":""Flowering period November-March, viewing period 1-2 weeks"",""color"":""Flower color lilac""}","http://pkb.resource.huahuacaocao.com/Z2VyYWx0b24gd2F4IG9yY2hpZC5qcGc=?imageView2/1/w/%d/h/%d","geralton wax orchid","{""min_temp"":5,""max_light_lux"":50000,""min_soil_moist"":15,""max_env_humid"":80,""min_light_lux"":3000,""min_env_humid"":30,""max_light_mmol"":6000,""min_soil_ec"":350,""max_temp"":32,""max_soil_ec"":2000,""min_light_mmol"":3000,""max_soil_moist"":60}","Geralton wax orchid","{""sunlight"":""Likes sunshine, shade properly under summer strong light"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""fertilization"":""Dilute fertilizers following instructions, top-dressing before and after flowering and defoliation"",""watering"":""Moderately resistant to drought, water thoroughly when soil is dry"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""soil"":""Peat or soil with specific nutrients""}"
"{""production"":""China"",""category"":""Iridaceae, Gladiolus"",""floral_language"":""Gladiolus x\nFloriography: passionate, persistent, diligent.\n\nA hybrid of the genus Gladiolus. Gladioli plants possesses graceful style with sword shape leaves. The funnel like flowers bloom from bottom to top gradually with various colors. This flowering order stands a good sign in Chinese culture, career rising up step by step. It is commonly used for flower beds and family yards. It is also widely cultured for cut flowers and ranks among the top four cut flowers because of the big and beautiful flower. \n\nGladioli require plentiful sunlight but should be shaded properly in hot summer. Bloom in July to September for two to three weeks."",""origin"":""Africa"",""color"":""Flower color orange red"",""blooming"":""Flowering period July-September, viewing period 2-3 weeks""}","http://pkb.resource.huahuacaocao.com/Z2xhZGlvbGkgJ2FkdmFuY2UnLmpwZw==?imageView2/1/w/%d/h/%d","gladioli 'advance'","{""max_light_lux"":60000,""max_soil_moist"":60,""min_soil_moist"":15,""min_soil_ec"":350,""min_light_lux"":3000,""max_env_humid"":80,""max_light_mmol"":6000,""min_light_mmol"":4000,""min_env_humid"":30,""max_temp"":32,""max_soil_ec"":2000,""min_temp"":5}","Gladioli 'advance'","{""soil"":""Peat or soil with specific nutrients"",""watering"":""Not resistant to flood, keep it relatively dry rather than wet, water thoroughly when soil is dry"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""sunlight"":""Long-day plant, like sunshine, shade properly under summer strong light"",""fertilization"":""Need more fertilization, dilute fertilizers following instructions,  apply once every 10-15 days in spring"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm""}"
